"fid","within_quebec","geom"
"855126","True","MULTIPOLYGON(((-78.87581973747022 54.65109468086872,-79.32497737953 54.80084929792614,-79.32497737953 55.098701058943526,-78.87581973747022 55.24680027961811,-78.42666209541048 55.098701058943526,-78.42666209541048 54.80084929792614,-78.87581973747022 54.65109468086872)))"
"855127","True","MULTIPOLYGON(((-78.42666209541048 46.2605410411582,-78.87581973747022 46.43953751872483,-78.87581973747022 46.795772360332826,-78.42666209541048 46.97301113617428,-77.9775044533507 46.795772360332826,-77.9775044533507 46.43953751872483,-78.42666209541048 46.2605410411582)))"
"855128","True","MULTIPOLYGON(((-78.42666209541048 47.32573259083572,-78.87581973747022 47.50121581120846,-78.87581973747022 47.850428750131066,-78.42666209541048 48.024159135835944,-77.9775044533507 47.850428750131066,-77.9775044533507 47.50121581120846,-78.42666209541048 47.32573259083572)))"
"855129","True","MULTIPOLYGON(((-78.42666209541048 48.3698695606592,-78.87581973747022 48.54185038840175,-78.87581973747022 48.884065394003045,-78.42666209541048 49.0543004778452,-77.9775044533507 48.884065394003045,-77.9775044533507 48.54185038840175,-78.42666209541048 48.3698695606592)))"
"855130","True","MULTIPOLYGON(((-78.42666209541048 49.3930282153543,-78.87581973747022 49.56152188828269,-78.87581973747022 49.89677152835408,-78.42666209541048 50.06352862398913,-77.9775044533507 49.89677152835408,-77.9775044533507 49.56152188828269,-78.42666209541048 49.3930282153543)))"
"855131","True","MULTIPOLYGON(((-78.42666209541048 50.39531032037834,-78.87581973747022 50.56033615484632,-78.87581973747022 50.88866100833348,-78.42666209541048 51.05196136232246,-77.9775044533507 50.88866100833348,-77.9775044533507 50.56033615484632,-78.42666209541048 50.39531032037834)))"
"855132","True","MULTIPOLYGON(((-78.42666209541048 51.37684138502317,-78.87581973747022 51.538422486042094,-78.87581973747022 51.85987056614272,-78.42666209541048 52.01973907100145,-77.9775044533507 51.85987056614272,-77.9775044533507 51.538422486042094,-78.42666209541048 51.37684138502317)))"
"855133","True","MULTIPOLYGON(((-78.42666209541048 52.33776893795314,-78.87581973747022 52.49593191547987,-78.87581973747022 52.81055810568268,-78.42666209541048 52.96702301969378,-77.9775044533507 52.81055810568268,-77.9775044533507 52.49593191547987,-78.42666209541048 52.33776893795314)))"
"855134","True","MULTIPOLYGON(((-78.42666209541048 53.27826084269948,-78.87581973747022 53.43303553523545,-78.87581973747022 53.74090104049521,-78.42666209541048 53.89399371533502,-77.9775044533507 53.74090104049521,-77.9775044533507 53.43303553523545,-78.42666209541048 53.27826084269948)))"
"855135","True","MULTIPOLYGON(((-78.42666209541048 54.19850365951542,-78.87581973747022 54.34992286598044,-78.87581973747022 54.65109468086872,-78.42666209541048 54.80084929792614,-77.9775044533507 54.65109468086872,-77.9775044533507 54.34992286598044,-78.42666209541048 54.19850365951542)))"
"855136","True","MULTIPOLYGON(((-78.42666209541048 58.503624741029995,-78.87581973747022 58.63884453781967,-78.87581973747022 58.90772064628476,-78.42666209541048 59.04137950514466,-77.9775044533507 58.90772064628476,-77.9775044533507 58.63884453781967,-78.42666209541048 58.503624741029995)))"
"855139","True","MULTIPOLYGON(((-77.9775044533507 45.72003337687708,-78.42666209541048 45.90078910917727,-78.42666209541048 46.2605410411582,-77.9775044533507 46.43953751872483,-77.52834681129094 46.2605410411582,-77.52834681129094 45.90078910917727,-77.9775044533507 45.72003337687708)))"
"855140","True","MULTIPOLYGON(((-77.9775044533507 46.795772360332826,-78.42666209541048 46.97301113617428,-78.42666209541048 47.32573259083572,-77.9775044533507 47.50121581120846,-77.52834681129094 47.32573259083572,-77.52834681129094 46.97301113617428,-77.9775044533507 46.795772360332826)))"
"855141","True","MULTIPOLYGON(((-77.9775044533507 47.850428750131066,-78.42666209541048 48.024159135835944,-78.42666209541048 48.3698695606592,-77.9775044533507 48.54185038840175,-77.52834681129094 48.3698695606592,-77.52834681129094 48.024159135835944,-77.9775044533507 47.850428750131066)))"
"855142","True","MULTIPOLYGON(((-77.9775044533507 48.884065394003045,-78.42666209541048 49.0543004778452,-78.42666209541048 49.3930282153543,-77.9775044533507 49.56152188828269,-77.52834681129094 49.3930282153543,-77.52834681129094 49.0543004778452,-77.9775044533507 48.884065394003045)))"
"855143","True","MULTIPOLYGON(((-77.9775044533507 49.89677152835408,-78.42666209541048 50.06352862398913,-78.42666209541048 50.39531032037834,-77.9775044533507 50.56033615484632,-77.52834681129094 50.39531032037834,-77.52834681129094 50.06352862398913,-77.9775044533507 49.89677152835408)))"
"855144","True","MULTIPOLYGON(((-77.9775044533507 50.88866100833348,-78.42666209541048 51.05196136232246,-78.42666209541048 51.37684138502317,-77.9775044533507 51.538422486042094,-77.52834681129094 51.37684138502317,-77.52834681129094 51.05196136232246,-77.9775044533507 50.88866100833348)))"
"855145","True","MULTIPOLYGON(((-77.9775044533507 51.85987056614272,-78.42666209541048 52.01973907100145,-78.42666209541048 52.33776893795314,-77.9775044533507 52.49593191547987,-77.52834681129094 52.33776893795314,-77.52834681129094 52.01973907100145,-77.9775044533507 51.85987056614272)))"
"855146","True","MULTIPOLYGON(((-77.9775044533507 52.81055810568268,-78.42666209541048 52.96702301969378,-78.42666209541048 53.27826084269948,-77.9775044533507 53.43303553523545,-77.52834681129094 53.27826084269948,-77.52834681129094 52.96702301969378,-77.9775044533507 52.81055810568268)))"
