"geom","min_year","max_year","year_interval","year_count","id"
"POINT(-63.188167 45.760967)",2009,2010,1,"2",15627
"POINT(-61.181309 42.866877)",1970,1994,24,"25",10150
"POINT(-61.56738 44.19795)",1970,1981,11,"9",12185
"POINT(-68.615921 41.275324)",1950,2007,57,"58",14795
"POINT(-58.452138 49.69674)",1972,1994,22,"20",10760
"POINT(-56.654374 47.5504)",1994,2010,16,"17",11285
"POINT(-61.56738 44.19795)",1982,1994,12,"13",11763
"POINT(-76.794435 44.062208)",1992,2018,26,"27",13622
"POINT(-48.319336 48.138699)",1996,2010,14,"15",14900
"POINT(-74 41.16667)",1980,2000,20,"21",13019
"POINT(-64.573724 46.34102)",2011,2014,3,"2",15383
"POINT(-59 49.25)",1965,2017,52,"53",14556
"POINT(-72 54)",1970,2014,44,"45",12796
"POINT(-62.11238 46.383134)",2011,2014,3,"2",15157
"POINT(-77.547686 43.947746)",1992,2012,20,"21",13510
"POINT(-68.3 43.3)",2007,2014,7,"8",14610
"POINT(-79.361398 43.62142)",2006,2012,6,"4",13463
"POINT(-61.56738 44.19795)",1995,2016,21,"22",12201
"POINT(-59 49.25)",1965,2017,52,"53",14780
"POINT(-73.795833 45.016389)",2003,2004,1,"2",13075
"POINT(-65.50048 43.2532)",1995,2016,21,"22",11973
"POINT(-86 50)",1970,2014,44,"45",12858
"POINT(-63.728047 47.637685)",1973,1994,21,"16",10473
"POINT(-65.50048 43.2532)",1995,2016,21,"22",12179
"POINT(-81.963458 42.705841)",2002,2003,1,"2",13111
"POINT(-77.22225 44.149251)",2001,2015,14,"14",13875
"POINT(-78.5 45.58333)",1976,1989,13,"14",10122
"POINT(-73.795833 45.016389)",2003,2004,1,"2",13077
"POINT(-65.50048 43.2532)",1995,2016,21,"8",12360
"POINT(-53.864595 53.910492)",1971,1994,23,"8",10737
"POINT(-61.455567 46.07815)",2004,2010,6,"7",15592
"POINT(-65.63232 43.2452)",1970,2010,40,"41",14361
"POINT(-74.58861 36.44722)",1981,2008,27,"28",14378
"POINT(-65.50048 43.2532)",1995,2016,21,"17",11904
"POINT(-78.523333 45.595278)",1972,1991,19,"19",12950
"POINT(-61.56738 44.19795)",1970,1981,11,"4",12414
"POINT(-65.50048 43.2532)",1995,2014,19,"17",12617
"POINT(-78.733333 50.2)",2001,2009,8,"9",12926
"POINT(-66.35 44.75)",1983,2008,25,"26",11241
"POINT(-74.018383 39.10066)",1982,2015,33,"34",14537
"POINT(-68.615921 41.275324)",1963,2005,42,"43",14349
"POINT(-61.56738 44.19795)",1971,1981,10,"6",11656
"POINT(-80.98194 43.37)",1992,1994,2,"3",13010
"POINT(-72.82857 45.04889)",2016,2021,5,"3",16077
"POINT(-62.067902 49.652037)",1972,1994,22,"22",10536
"POINT(-72 54)",1970,2014,44,"45",12679
