Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Maianthemum trifolium (L.) Sloboda,Sloboda (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum trifolium,
Cypripedium parviflorum Salisb.,Salisb.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium parviflorum,
Elodea canadensis Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Elodea,Elodea canadensis,
Phalaris arundinacea Michx.,Michx.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phalaris,Phalaris arundinacea,
Artemisia biennis Willd.,Willd.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia biennis,
Thelypteris palustris Schott,Schott,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Thelypteris,Thelypteris palustris,
Pinus resinosa Aiton,Aiton,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus resinosa,
Potamogeton natans Sturm,Sturm,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton natans,
Goodyera tesselata G.Lodd.,G.Lodd.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Goodyera,Goodyera tesselata,
Potamogeton spirillus Tuck.,Tuck.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton spirillus,
Phragmites australis (Cav.) Trin.,Trin. (Cav.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phragmites,Phragmites australis,
Botrychium matricariifolium (D̦ll) A. Br. ex Koch,A. Br. ex Koch (D̦ll),Plantae,Tracheophyta,Psilotopsida,Ophioglossales,Ophioglossaceae,Botrychium,Botrychium matricariifolium,
Crataegus submollis Sarg.,Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus submollis,
Potamogeton richardsonii (A.Benn.) Rydb.,Rydb. (A.Benn.),Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton richardsonii,
Juniperus communis,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus communis,
Sparganium angustifolium R.Br.,R.Br.,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,Sparganium angustifolium,
Corallorhiza trifida Ch̢tel.,Ch̢tel.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza trifida,
Stachys palustris Walter,Walter,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys palustris,
Platanthera hyperborea (L.) Lindl.,Lindl. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera hyperborea,
Lilium canadense Thunb.,Thunb.,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Lilium,Lilium canadense,
Digitaria ischaemum (Schreb.) Muhl.,Muhl. (Schreb.),Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Digitaria,Digitaria ischaemum,
Potamogeton perfoliatus L.,L.,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,
Polystichum braunii (Spenn.) F̩e,F̩e (Spenn.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,Polystichum braunii,
Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt,Rostk. & W.L.E.Schmidt (Willd.),Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Najas,Najas flexilis,
Symphyotrichum novi-belgii (L.) G.L.Nesom,G.L.Nesom (L.),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum novi-belgii,
Lobelia inflata L.,L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Lobelia,Lobelia inflata,
Allium schoenoprasum Regel & Tiling,Regel & Tiling,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium schoenoprasum,
Picea rubens Sarg.,Sarg.,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea rubens,
Cryptogramma stelleri (Gmel.) Prantl,Prantl (Gmel.),Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cryptogramma,Cryptogramma stelleri,
Crataegus chrysocarpa Ashe,Ashe,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus chrysocarpa,
Spiranthes lacera (Raf.) Raf.,Raf. (Raf.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes lacera,
Platanthera obtusata Schur,Schur,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera obtusata,
Erechtites hieraciifolius Walp.,Walp.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erechtites,Erechtites hieraciifolius,
Potamogeton berchtoldii Fieber,Fieber,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton berchtoldii,
Hemerocallis fulva (L.) L.,L. (L.),Plantae,Tracheophyta,Liliopsida,Asparagales,Xanthorrhoeaceae,Hemerocallis,Hemerocallis fulva,
Pogonia ophioglossoides,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogonia,Pogonia ophioglossoides,
Platanthera dilatata (Pursh) Lindl. ex L.C.Beck,Lindl. ex L.C.Beck (Pursh),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera dilatata,
Anticlea elegans (Pursh) Rydb.,Rydb. (Pursh),Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Anticlea,Anticlea elegans,
Lycopodium annotinum,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodium,Lycopodium annotinum,
Platanthera orbiculata (Pursh) Lindl.,Lindl. (Pursh),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera orbiculata,
Anaphalis margaritacea (L.) A.Gray,A.Gray (L.),Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anaphalis,Anaphalis margaritacea,
Allium tricoccum Aiton,Aiton,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium tricoccum,
Triantha glutinosa,,Plantae,Tracheophyta,Liliopsida,Alismatales,Tofieldiaceae,Triantha,Triantha glutinosa,
Veratrum viride Aiton,Aiton,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Veratrum,Veratrum viride,
Brasenia schreberi J. F. Gmel.,J. F. Gmel.,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Cabombaceae,Brasenia,Brasenia schreberi,
Antennaria canadensis Greene,Greene,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria canadensis,
Erigeron philadelphicus Bart.,Bart.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron philadelphicus,
Platanthera hookeri (Torr.) Lindl.,Lindl. (Torr.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera hookeri,
Platanthera huronensis Lindl.,Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera huronensis,
Platanthera lacera (Michx.) G.Don,G.Don (Michx.),Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera lacera,
Oenothera victorinii Gates & Catcheside,Gates & Catcheside,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera victorinii,
