"id","source_name","source_id","source_record_id","scientific_name","authorship","rank","valid","valid_srid","classification_srids","created_at","modified_at","modified_by"
258169,"Catalogue of Life","1","5XM","Acipenseridae",NULL,"family",True,"5XM","{5T6MX,N,CH2,CT,MJ,5XM}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
184244,"GBIF Backbone Taxonomy","11","9274","Trachyleberididae",NULL,"family",True,"9274","{1,54,353,1438,9274}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
177962,"GBIF Backbone Taxonomy","11","4262","Coryphaenidae",NULL,"family",True,"4262","{1,44,204,587,4262}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
174141,"ITIS","3","111857","Haliplidae",NULL,"family",True,"111857","{202423,914154,914155,914158,82696,563886,99208,100500,563890,914213,109216,109226,111857}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
254487,"GBIF Backbone Taxonomy","11","5857","Coenogoniaceae",NULL,"family",True,"5857","{5,95,180,1279,5857}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
196469,"ITIS","3","84323","Halocyprididae",NULL,"family",True,"84323","{202423,914154,914155,914158,82696,83677,84195,609934,609938,609941,609964,84323}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
250646,"ITIS","3","14687","Jungermanniaceae",NULL,"family",True,"14687","{202422,954898,846494,954900,846119,846124,14198,14210,846194,14687}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
174562,"GBIF Backbone Taxonomy","11","4305027","Amnicolidae",NULL,"family",True,"4305027","{1,52,225,7390893,4305027}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
230491,"Catalogue of Life","1","7W8","Ceratiidae",NULL,"family",True,"7W8","{5T6MX,N,CH2,CT,3GY,7W8}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
288836,"Catalogue of Life","1","HYK","Xylariaceae",NULL,"family",True,"HYK","{5T6MX,F,SM,J2,622VK,HYK}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
166590,"GBIF Backbone Taxonomy","11","2498","Boraginaceae",NULL,"family",True,"2498","{6,7707728,220,7226464,2498}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
196913,"GBIF Backbone Taxonomy","11","3589","Tomopteridae",NULL,"family",True,"3589","{1,42,256,1079,3589}","2021-11-23 11:27:50.388395-05","2021-11-23 11:27:50.388395-05","postgres"
345152,"ITIS","3","161023","Rhinochimaeridae",NULL,"family",True,"161023","{202423,914154,914156,158852,331030,914179,914180,159785,161008,161009,161010,161023}","2022-10-28 16:27:01.095739-04","2022-10-28 16:27:01.095739-04","vbeaure"
