Species Name,Scientific Name Authorship,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
"Fissidens dubius Palisot de Beauvois, 1805","Palisot de Beauvois, 1805",Plantae,Bryophyta,Bryopsida,Fissidentales,Fissidentaceae,Fissidens,Fissidens dubius,
"Abietinella abietina Fleischer, 1923","Fleischer, 1923",Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Abietinella,Abietinella abietina,
"Plagiothecium latebricola W. P. Schimper in B.S.G., 1851","W. P. Schimper in B.S.G., 1851",Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,Plagiothecium latebricola,
"Plagiothecium cavifolium Iwatsuki, 1970","Iwatsuki, 1970",Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,Plagiothecium cavifolium,
"Andreaea rothii Weber & D. Mohr, 1807","Weber & D. Mohr, 1807",Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,Andreaea rothii,
Tortula ruralis (Hedw.) Gaertn. et al.,Gaertn. et al. (Hedw.),Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,Tortula ruralis,
Aplodon wormskioldii (Hornem.) Kindb.,Kindb. (Hornem.),Plantae,Bryophyta,Bryopsida,Funariales,Splachnaceae,Aplodon,Aplodon wormskioldii,
Sphagnum robustum,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum robustum,
Bryum pallescens Schleicher,Schleicher,,,,,,,Bryum pallescens,
Tetraphis geniculata Girgensohn,Girgensohn,Plantae,Bryophyta,Bryopsida,Tetraphidales,Tetraphidaceae,Tetraphis,Tetraphis geniculata,
"Sphagnum olafii Flatberg, 1993","Flatberg, 1993",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum olafii,
"Orthotrichum obtusifolium Bridel, 1801","Bridel, 1801",Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Orthotrichum obtusifolium,
"Bryum blindii Bruch & W. P. Schimper in B.S.G., 1846","Bruch & W. P. Schimper in B.S.G., 1846",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum blindii,
"Bryum klinggraeffii W. P. Schimper in KlinggrÃ¤ff, 1858","W. P. Schimper in KlinggrÃ¤ff, 1858",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum klinggraeffii,
"Bryum weigelii Sprengel, 1807","Sprengel, 1807",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum weigelii,
"Leptobryum pyriforme Wilson, 1855","Wilson, 1855",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Leptobryum,Leptobryum pyriforme,
"Calliergon richardsonii Kindberg, 1897","Kindberg, 1897",Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Calliergon,Calliergon richardsonii,
"Atrichum altecristatum B. B. Smyth & L. C. R. Smyth, 1911","B. B. Smyth & L. C. R. Smyth, 1911",Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Atrichum,Atrichum altecristatum,
Pleurocladula albescens (Hook.) Grolle,Grolle (Hook.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Pleuroclada,Pleurocladula albescens,
Chiloscyphus pallescens,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Chiloscyphus,Chiloscyphus pallescens,
Hypnum lindbergii Mitt.,Mitt.,,,,,,,Hypnum lindbergii,
Calliergon sarmentosum (Wahlenb.) Kindb.,Kindb. (Wahlenb.),Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Calliergon,Calliergon sarmentosum,
Pohlia proligera (Kindb. ex Breidl.) Lindb. ex Arnell,Lindb. ex Arnell (Kindb. ex Breidl.),Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Pohlia,Pohlia proligera,
Bryum argenteum Broth.,Broth.,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum argenteum,
Leucobryum glaucum,,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Leucobryum,Leucobryum glaucum,
Leptodictyum riparium (Bryhn) Podpe,Podpe (Bryhn),Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Leptodictyum,Leptodictyum riparium,
Psilopilum cavifolium (Wils.) I. Hag.,I. Hag. (Wils.),Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Psilopilum,Psilopilum cavifolium,
Jungermannia subelliptica,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Jungermanniaceae,Jungermannia,Jungermannia subelliptica,
"Brachythecium populeum W. P. Schimper in B.S.G., 1853","W. P. Schimper in B.S.G., 1853",Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,Brachythecium populeum,
"Orthotrichum sordidum Sullivant & Lesquereux in Austin, 1870","Sullivant & Lesquereux in Austin, 1870",Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Orthotrichum sordidum,
"Racomitrium fasciculare Bridel, 1819","Bridel, 1819",Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Racomitrium,Racomitrium fasciculare,
"Dicranodontium denudatum Britton in R. S. Williams, 1913","Britton in R. S. Williams, 1913",Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranodontium,Dicranodontium denudatum,
"Bryum tenuisetum Limpricht, 1897","Limpricht, 1897",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum tenuisetum,
"Bryum uliginosum Bruch & W. P. Schimper, 1839","Bruch & W. P. Schimper, 1839",Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum uliginosum,
"Pseudoleskeella rupestris HedenÃ¤s & L. SÃ¶derstrÃ¶m, 1991","HedenÃ¤s & L. SÃ¶derstrÃ¶m, 1991",Plantae,Bryophyta,Bryopsida,Hypnales,Leskeaceae,Pseudoleskeella,Pseudoleskeella rupestris,
"Herzogiella turfacea Iwatsuki, 1970","Iwatsuki, 1970",Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Herzogiella,Herzogiella turfacea,
Odontoschisma elongatum (Lindb.) A.Evans,A.Evans (Lindb.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Odontoschisma,Odontoschisma elongatum,
Chiloscyphus polyanthos (L.) Corda,Corda (L.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Chiloscyphus,Chiloscyphus polyanthos,
Frullania oakesiana Aust.,Aust.,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,Frullania oakesiana,
Scapania paludosa (MÃ¼ll.Frib.) MÃ¼ll.Frib.,MÃ¼ll.Frib. (MÃ¼ll.Frib.),Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Scapania,Scapania paludosa,
Anastrophyllum saxicola (Schrad.) R.M.Schust.,R.M.Schust. (Schrad.),,,,,,,Anastrophyllum saxicola,
Sphagnum affine Ren. & Card.,Ren. & Card.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum affine,
"Bartramia pomiformis Hedwig, 1801","Hedwig, 1801",Plantae,Bryophyta,Bryopsida,Bryales,Bartramiaceae,Bartramia,Bartramia pomiformis,
"Mnium marginatum Palisot de Beauvois, 1805","Palisot de Beauvois, 1805",Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium,Mnium marginatum,
Haplohymenium triste (Ces.) Kindb.,Kindb. (Ces.),Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Haplohymenium,Haplohymenium triste,
"Dicranella heteromalla (Hedwig) Jaeger, 1872","Jaeger, 1872 (Hedwig)",,,,,,,Dicranella heteromalla,
Sphagnum imbricatum Hornsch.,Hornsch.,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum imbricatum,
Mielichhoferia elongata (Hook.) Loeske,Loeske (Hook.),Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Mielichhoferia,Mielichhoferia elongata,
Hygrohypnum eugyrium (Schimp.) Loeske,Loeske (Schimp.),Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Hygrohypnum,Hygrohypnum eugyrium,
Rhizomnium punctatum (Hedw.) T.J.Kop.,T.J.Kop. (Hedw.),Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Rhizomnium,Rhizomnium punctatum,
